HomeTeam,AwayTeam,FTHG,FTAG,HST,AST
West Ham,West Brom,2,2,4,3
Burnley,Chelsea,1,1,4,2
Swansea,Leicester,2,0,4,1
Bournemouth,Man City,0,2,1,5
Chelsea,Swansea,3,1,5,2
Crystal Palace,Middlesbrough,1,0,3,4
Everton,Sunderland,2,0,8,1
Hull,Burnley,1,1,1,3
Watford,West Ham,1,1,1,2
West Brom,Bournemouth,2,1,4,4
Tottenham,Stoke,4,0,9,3
Leicester,Liverpool,3,1,7,7
Leicester,Hull,3,1,5,4
Liverpool,Arsenal,3,1,7,3
Man United,Bournemouth,1,1,7,1
Stoke,Middlesbrough,2,0,8,2
Swansea,Burnley,3,2,10,4
Watford,Southampton,3,4,4,11
West Brom,Crystal Palace,0,2,1,4
Sunderland,Man City,0,2,3,7
Tottenham,Everton,3,2,7,4
West Ham,Chelsea,1,2,2,4
Man City,Stoke,0,0,1,2
Bournemouth,West Ham,3,2,9,7
Everton,West Brom,3,0,5,2
Hull,Swansea,2,1,7,3
Liverpool,Burnley,2,1,3,1
Bournemouth,Swansea,2,0,6,1
Crystal Palace,Watford,1,0,0,2
Everton,Hull,4,0,8,0
Stoke,Chelsea,1,2,1,7
Sunderland,Burnley,0,0,5,3
West Brom,Arsenal,3,1,8,2
West Ham,Leicester,2,3,7,5
Man City,Liverpool,1,1,3,4
Middlesbrough,Man United,1,3,3,6
Tottenham,Southampton,2,1,6,3
Burnley,Tottenham,0,2,2,7
Chelsea,Crystal Palace,1,2,11,3
Hull,West Ham,2,1,3,4
Leicester,Stoke,2,0,10,2
Liverpool,Everton,3,1,6,4
Man United,West Brom,0,0,3,1
Southampton,Bournemouth,0,0,4,3
Watford,Sunderland,1,0,10,3
Arsenal,Man City,2,2,3,5
Swansea,Middlesbrough,0,0,3,1
Burnley,Stoke,1,0,3,2
Leicester,Sunderland,2,0,8,3
Man United,Everton,1,1,3,4
Watford,West Brom,2,0,2,2
Arsenal,West Ham,3,0,8,2
Chelsea,Man City,2,1,4,7
Hull,Middlesbrough,4,2,5,4
Liverpool,Bournemouth,2,2,8,2
Southampton,Crystal Palace,3,1,9,3
Swansea,Tottenham,1,3,1,8
Bournemouth,Chelsea,1,3,1,5
Man City,Hull,3,1,7,1
Middlesbrough,Burnley,0,0,5,2
Stoke,Liverpool,1,2,4,4
Tottenham,Watford,4,0,6,2
West Brom,Southampton,0,1,6,3
West Ham,Swansea,1,0,6,1
Everton,Leicester,4,2,7,4
Sunderland,Man United,0,3,4,9
Crystal Palace,Arsenal,3,0,6,3
Crystal Palace,Leicester,2,2,4,2
Everton,Burnley,3,1,7,6
Southampton,Man City,0,3,1,5
Stoke,Hull,3,1,4,3
Sunderland,West Ham,2,2,4,3
Tottenham,Bournemouth,4,0,14,1
Watford,Swansea,1,0,7,4
Man United,Chelsea,2,0,3,0
West Brom,Liverpool,0,1,2,2
Middlesbrough,Arsenal,1,2,5,4
Bournemouth,Middlesbrough,4,0,10,2
Hull,Watford,2,0,3,2
Swansea,Stoke,2,0,6,3
West Ham,Everton,0,0,3,0
Burnley,Man United,0,2,0,6
Liverpool,Crystal Palace,1,2,1,3
Chelsea,Southampton,4,2,7,4
Arsenal,Leicester,1,0,5,3
Crystal Palace,Tottenham,0,1,1,4
Middlesbrough,Sunderland,1,0,2,4
Man City,Man United,0,0,6,1
Crystal Palace,Burnley,0,2,5,3
Southampton,Hull,0,0,2,1
Stoke,West Ham,0,0,4,4
Sunderland,Bournemouth,0,1,5,7
West Brom,Leicester,0,1,4,1
Everton,Chelsea,0,3,4,5
Man United,Swansea,1,1,6,4
Middlesbrough,Man City,2,2,6,4
Tottenham,Arsenal,2,0,11,4
Watford,Liverpool,0,1,2,8
West Ham,Tottenham,1,0,5,5
Bournemouth,Stoke,2,2,2,3
Burnley,West Brom,2,2,4,3
Hull,Sunderland,0,2,6,5
Leicester,Watford,3,0,5,7
Man City,Crystal Palace,5,0,12,2
Swansea,Everton,1,0,4,2
Arsenal,Man United,2,0,4,4
Liverpool,Southampton,0,0,8,0
Chelsea,Middlesbrough,3,0,7,1
Southampton,Arsenal,0,2,3,4
Everton,Watford,1,0,6,2
West Brom,Chelsea,0,1,2,5
Bournemouth,Burnley,2,1,6,3
Man City,Leicester,2,1,5,4
Middlesbrough,Southampton,1,2,3,4
Stoke,Arsenal,1,4,4,6
Sunderland,Swansea,0,2,4,3
Crystal Palace,Hull,4,0,4,0
Tottenham,Man United,2,1,7,2
West Ham,Liverpool,0,4,3,11
Chelsea,Watford,4,3,9,3
Arsenal,Sunderland,2,0,13,2
Man City,West Brom,3,1,10,2
Southampton,Man United,0,0,6,1
Leicester,Tottenham,1,6,5,12
Arsenal,Everton,3,1,9,7
Burnley,West Ham,1,2,1,4
Chelsea,Sunderland,5,1,8,3
Hull,Tottenham,1,7,4,14
Leicester,Bournemouth,1,1,5,4
Liverpool,Middlesbrough,3,0,10,3
Man United,Crystal Palace,2,0,2,1
Southampton,Stoke,0,1,6,3
Swansea,West Brom,2,1,2,5
Watford,Man City,0,5,3,9
